Time,Government Securities - 5-Year Bond Yield,Government Securities - 2-Year Bond Yield,Government Securities - 10-Year Bond Yield
2022 Dec ,2.83,3.12,3.09
2022 Nov ,2.94,3.14,3.07
2022 Oct ,3.28,3.11,3.43
2022 Sep ,3.54,3.39,3.48
2022 Aug ,2.91,2.78,2.98
2022 Jul ,2.57,2.55,2.66
2022 Jun ,2.8,2.68,2.98
2022 May ,2.5,2.14,2.71
2022 Apr ,2.4,2.01,2.53
2022 Mar ,2.29,1.86,2.34
2022 Feb ,1.69,1.21,1.9
2022 Jan ,1.57,1.04,1.77
2021 Dec ,1.36,0.91,1.67
2021 Nov ,1.28,0.83,1.7
2021 Oct ,1.46,0.89,1.84
2021 Sep ,0.94,0.59,1.59
2021 Aug ,0.79,0.36,1.41
2021 Jul ,0.75,0.37,1.3
2021 Jun ,0.91,0.43,1.58
2021 May ,0.86,0.35,1.48
2021 Apr ,0.77,0.43,1.59
2021 Mar ,0.93,0.52,1.74
2021 Feb ,0.69,0.41,1.33
2021 Jan ,0.51,0.32,1
2020 Dec ,0.46,0.29,0.84
2020 Nov ,0.5,0.27,0.88
2020 Oct ,0.5,0.26,0.81
2020 Sep ,0.45,0.25,0.87
2020 Aug ,0.54,0.29,1.01
2020 Jul ,0.5,0.24,0.86
2020 Jun ,0.54,0.29,0.9
2020 May ,0.44,0.24,0.83
2020 Apr ,0.54,0.43,0.9
2020 Mar ,0.99,0.76,1.29
2020 Feb ,1.28,1.28,1.38
2020 Jan ,1.44,1.43,1.61
2019 Dec ,1.56,1.53,1.74
2019 Nov ,1.62,1.52,1.74
2019 Oct ,1.64,1.61,1.78
2019 Sep ,1.66,1.66,1.74
2019 Aug ,1.68,1.68,1.75
2019 Jul ,1.77,1.69,1.92
2019 Jun ,1.77,1.66,2
2019 May ,1.92,1.94,2.09
2019 Apr ,1.98,1.91,2.17
2019 Mar ,1.93,1.92,2.07
2019 Feb ,2.06,2,2.26
2019 Jan ,2,1.98,2.15
2018 Dec ,1.9,1.88,2.04
2018 Nov ,2.12,2.01,2.35
2018 Oct ,2.3,2.06,2.51
2018 Sep ,2.24,1.95,2.5
2018 Aug ,2.1,1.9,2.38
2018 Jul ,2.19,1.9,2.46
2018 Jun ,2.28,1.96,2.53
2018 May ,2.3,1.94,2.58
2018 Apr ,2.18,1.95,2.6
2018 Mar ,2.05,1.9,2.29
2018 Feb ,2.02,1.66,2.39
2018 Jan ,1.88,1.52,2.2
2017 Dec ,1.68,1.65,2
2017 Nov ,1.72,1.49,2.13
2017 Oct ,1.66,1.42,2.15
2017 Sep ,1.65,1.39,2.15
2017 Aug ,1.56,1.28,2.09
2017 Jul ,1.54,1.23,2.1
2017 Jun ,1.51,1.22,2.09
2017 May ,1.56,1.21,2.08
2017 Apr ,1.59,1.21,2.13
2017 Mar ,1.76,1.32,2.25
2017 Feb ,1.59,1.23,2.31
2017 Jan ,1.73,1.29,2.3
2016 Dec ,1.85,1.31,2.47
2016 Nov ,1.7,1.1,2.3
2016 Oct ,1.34,0.88,1.89
2016 Sep ,1.32,0.92,1.78
2016 Aug ,1.32,0.85,1.8
2016 Jul ,1.43,0.95,1.81
2016 Jun ,1.51,1.02,1.91
2016 May ,1.79,1.08,2.24
2016 Apr ,1.61,1.02,2
2016 Mar ,1.45,0.81,1.84
2016 Feb ,1.85,1.04,2.28
2016 Jan ,1.89,1.1,2.26
2015 Dec ,1.9,1.07,2.6
2015 Nov ,1.95,1.21,2.51
2015 Oct ,1.86,1.25,2.46
2015 Sep ,2,1.35,2.54
2015 Aug ,2.17,1.11,2.85
2015 Jul ,2.04,1.02,2.63
2015 Jun ,2,0.91,2.69
2015 May ,1.7,1.02,2.42
2015 Apr ,1.59,1.07,2.25
2015 Mar ,1.83,1.31,2.27
2015 Feb ,1.62,1.03,2.23
2015 Jan ,1.37,0.84,1.88
2014 Dec ,1.6,0.64,2.28
2014 Nov ,1.44,0.54,2.19
2014 Oct ,1.47,0.47,2.29
2014 Sep ,1.67,0.59,2.47
2014 Aug ,1.3,0.51,2.27
2014 Jul ,1.27,0.44,2.46
2014 Jun ,1.19,0.39,2.32
2014 May ,1.3,0.41,2.24
2014 Apr ,1.45,0.44,2.42
2014 Mar ,1.54,0.53,2.49
2014 Feb ,1.43,0.36,2.46
2014 Jan ,1.57,0.41,2.46
2013 Dec ,1.08,0.37,2.56
2013 Nov ,0.63,0.36,2.4
2013 Oct ,0.69,0.35,2.15
2013 Sep ,0.92,0.43,2.35
2013 Aug ,1.08,0.25,2.67
2013 Jul ,0.88,0.22,2.47
2013 Jun ,1.17,0.21,2.51
2013 May ,0.96,0.3,1.81
2013 Apr ,0.47,0.2,1.37
2013 Mar ,0.54,0.23,1.54
2013 Feb ,0.37,0.2,1.52
2013 Jan ,0.4,0.29,1.42
2012 Dec ,0.31,0.28,1.3
2012 Nov ,0.41,0.28,1.3
2012 Oct ,0.38,0.26,1.34
2012 Sep ,0.42,0.32,1.47
2012 Aug ,0.4,0.21,1.38
2012 Jul ,0.43,0.18,1.4
2012 Jun ,0.42,0.16,1.61
2012 May ,0.55,0.24,1.46
2012 Apr ,0.54,0.19,1.55
2012 Mar ,0.64,0.16,1.66
2012 Feb ,0.62,0.27,1.48
2012 Jan ,0.49,0.3,1.54
2011 Dec ,0.6,0.35,1.63
2011 Nov ,0.58,0.22,1.68
2011 Oct ,0.59,0.26,1.75
2011 Sep ,0.53,0.14,1.62
2011 Aug ,0.5,0.18,1.64
2011 Jul ,0.59,0.22,2.02
2011 Jun ,0.99,0.43,2.31
2011 May ,1.14,0.45,2.39
2011 Apr ,1.1,0.47,2.41
2011 Mar ,1.19,0.45,2.48
2011 Feb ,1.15,0.44,2.6
2011 Jan ,1.16,0.49,2.57
2010 Dec ,1.4,0.51,2.71
2010 Nov ,1.18,0.43,2.29
2010 Oct ,0.89,0.44,1.98
2010 Sep ,0.88,0.41,2.02
2010 Aug ,0.68,0.45,1.99
2010 Jul ,0.59,0.43,1.95
2010 Jun ,0.76,0.44,2.37
2010 May ,0.91,0.48,2.79
2010 Apr ,1.08,0.45,2.67
2010 Mar ,1.28,0.57,2.83
2010 Feb ,1.3,0.56,2.69
2010 Jan ,1.26,0.63,2.54
2009 Dec ,1.28,0.6,2.66
2009 Nov ,1.31,0.54,2.47
2009 Oct ,1.33,0.61,2.55
2009 Sep ,1.43,0.59,2.45
2009 Aug ,1.32,0.49,2.47
2009 Jul ,1.32,0.49,2.41
2009 Jun ,1.45,0.61,2.59
2009 May ,1.29,0.52,2.61
2009 Apr ,1.34,0.4,2.04
2009 Mar ,1.42,0.62,2.03
2009 Feb ,1.08,0.66,2.06
2009 Jan ,1.4,0.74,2.07
2008 Dec ,1.4,0.83,2.05
2008 Nov ,1.53,0.86,2.29
2008 Oct ,2.02,1.27,2.95
2008 Sep ,2.4,1.49,3.21
2008 Aug ,2.19,1.32,3.19
2008 Jul ,2.01,1.03,3.21
2008 Jun ,2.64,1.23,3.59
2008 May ,2.62,1.2,3.51
2008 Apr ,1.82,1.03,2.44
2008 Mar ,1.64,0.9,2.27
2008 Feb ,1.65,1.16,2.4
2008 Jan ,1.58,1.38,2.21
2007 Dec ,2.33,1.82,2.68
2007 Nov ,2.44,2.01,2.81
2007 Oct ,2.54,2.03,2.81
2007 Sep ,2.53,2,2.7
2007 Aug ,2.65,2.23,2.92
2007 Jul ,2.7,2.44,2.98
2007 Jun ,2.58,2.42,2.86
2007 May ,2.62,2.32,2.92
2007 Apr ,2.47,2.32,2.68
2007 Mar ,2.7,2.51,2.91
2007 Feb ,2.99,2.91,3.08
2007 Jan ,3.07,3.01,3.18
