feature,color_diff
District_Ang Mo Kio,2198.496513788998
District_Bedok,2197.4046586033446
District_Bishan,2193.6789360783964
District_Bukit Batok,2195.9528808244095
District_Bukit Merah,2191.1750934929023
District_Bukit Panjang,2185.6547710718355
District_Bukit Timah,2196.823320716293
District_Central,2195.05670974096
District_Choa Chu Kang,2200.120309056669
District_Clementi,2200.0941250738374
District_Geylang,2194.741978948771
District_Hougang,2195.365105362545
District_Jurong East,2197.42429952411
District_Jurong West,2198.4859325171
District_Kallang/ Whampoa,2195.7554891047307
District_Marine Parade,2195.6222240894986
District_Pasir Ris,2193.03467352941
District_Punggol,2197.256813328868
District_Queenstown,2190.4679421527003
District_Sembawang,2196.411950323869
District_Sengkang,2201.867973166328
District_Serangoon,2196.031451960445
District_Tampines,2196.982838890973
District_Toa Payoh,2193.391259337851
District_Woodlands,2199.149937387387
District_Yishun,2196.533569284415
RoomType_Executive,2198.3214908892455
RoomType_Room3,2206.274328361774
RoomType_Room4,2198.578699305752
RoomType_Room5,2206.2753284181604
GDP In Chained (2015) Dollars,2221.7234764842165
Total Unemployment Rate,2194.1744522662584
Total Demand,2197.032592939121
Total Domestic Demand,2197.0538547052274
Government Securities - 2-Year Bond Yield,2208.366302929542
